customer_id,employee_count,company_size,tenure_months,contract_value_annual,modules_subscribed,has_payroll_module,active_users_ratio,monthly_active_users,support_tickets_per_month,health_score,training_sessions_attended,onboarding_completed,features_used_ratio,avg_logins_per_user_month,last_qbr_attendance,payment_delays_last_year,critical_issues_last_quarter,industry,churned
CUST0001,88,small,72,8532.27,6,0,0.93,81,3.22,75.0,0,1,0.75,12.28,0,2,1,Retail,1
CUST0002,310,medium,120,39925.43,1,0,0.36,110,1.05,62.5,3,1,1.0,6.31,1,3,2,Technology,0
CUST0003,231,medium,0,38139.68,6,0,0.66,152,3.89,87.5,3,0,0.75,12.22,1,3,1,Technology,1
CUST0004,312,medium,96,38629.32,1,0,0.67,209,1.42,87.5,3,1,0.75,10.29,1,2,1,Technology,0
CUST0005,156,small,24,18892.64,6,0,0.46,71,1.46,37.5,3,1,0.75,8.51,1,2,0,Technology,0
CUST0006,144,small,84,19180.36,1,0,0.94,135,1.09,100.0,2,1,0.75,19.88,0,2,0,Technology,0
CUST0007,396,medium,12,47244.07,4,0,0.22,85,7.57,50.0,3,1,1.0,2.91,0,1,1,Technology,0
CUST0008,21,startup,12,2815.73,1,0,0.64,13,3.63,87.5,2,1,1.0,13.96,1,2,0,Technology,0
CUST0009,440,medium,108,59636.24,1,0,0.55,242,1.95,87.5,2,1,1.0,9.89,1,3,2,Technology,0
CUST0010,833,medium,84,95867.75,6,0,0.7,584,2.58,75.0,3,1,0.75,14.14,0,2,0,Technology,0
CUST0011,216,medium,60,22984.16,1,0,0.38,82,3.5,37.5,5,1,0.75,7.59,1,1,1,Technology,0
CUST0012,460,medium,108,73229.59,1,0,0.71,325,1.84,87.5,3,1,0.75,9.17,1,3,0,Technology,0
CUST0013,70,small,60,12193.58,1,0,0.67,46,1.81,50.0,1,1,0.75,12.4,0,2,0,Technology,0
CUST0014,99,small,24,9916.53,1,0,0.79,77,3.13,75.0,2,1,0.75,16.0,1,2,1,Technology,0
CUST0015,276,medium,48,33088.28,5,0,0.59,163,1.66,75.0,4,1,0.75,9.66,1,3,2,Technology,1
CUST0016,170,small,120,26117.39,1,0,0.24,41,3.44,37.5,1,1,0.75,4.98,1,1,0,Technology,0
CUST0017,91,small,72,10251.69,1,0,0.38,34,1.44,37.5,5,1,0.75,5.51,0,1,1,Technology,0
CUST0018,20,startup,12,2313.09,1,0,0.8,15,2.28,100.0,2,1,0.75,19.47,0,1,0,Technology,0
CUST0019,1023,enterprise,300,148644.36,2,0,0.87,889,3.37,62.5,3,1,0.75,11.95,1,3,1,Retail,0
CUST0020,120,small,36,13643.9,5,0,0.99,119,3.38,100.0,3,1,0.75,18.2,1,2,0,Technology,0
CUST0021,95,small,48,16229.73,1,0,0.62,59,0.87,50.0,5,1,0.75,15.13,0,1,0,Technology,0
CUST0022,460,medium,60,53841.63,6,0,0.22,102,2.18,50.0,4,1,1.0,4.97,1,3,0,Retail,1
CUST0023,351,medium,144,51664.62,1,0,0.36,127,3.51,37.5,4,1,0.75,8.34,1,2,0,Technology,0
CUST0024,0,,0,0.0,1,0,0.88,0,1.92,87.5,6,0,0.75,20.21,1,2,1,Technology,0
CUST0025,120,small,48,13863.69,2,0,0.19,22,3.87,37.5,2,1,0.75,2.84,1,2,1,Technology,1
CUST0026,1222,enterprise,168,185628.96,4,0,0.53,648,0.87,75.0,3,1,0.75,8.47,0,2,0,Technology,0
CUST0027,350,medium,120,46095.39,1,0,0.18,64,3.88,37.5,5,1,1.0,4.0,1,4,1,Technology,1
CUST0028,450,medium,108,52543.86,1,0,0.5,223,1.13,62.5,2,1,0.75,12.0,1,2,1,Retail,0
CUST0029,1008,enterprise,264,132473.28,3,0,0.86,864,0.64,62.5,4,1,0.75,11.15,1,3,0,Technology,0
CUST0030,594,medium,24,68264.86,3,0,0.18,105,1.09,37.5,2,1,0.75,4.1,0,2,2,Retail,0
CUST0031,112,small,12,16302.73,4,0,0.79,88,0.65,87.5,3,1,0.75,18.83,1,2,1,Technology,0
CUST0032,270,medium,48,34649.17,2,0,0.96,258,1.3,100.0,5,1,0.75,18.6,1,2,1,Technology,0
CUST0033,400,medium,120,50171.85,1,0,0.67,266,6.77,87.5,5,1,0.75,14.06,1,3,1,Technology,0
CUST0034,532,medium,12,61265.59,3,0,0.99,528,2.92,100.0,6,1,0.75,16.59,1,2,1,Retail,1
CUST0035,78,small,24,10550.95,2,0,0.89,69,2.3,75.0,2,1,0.75,13.73,0,2,1,Technology,1
CUST0036,240,medium,60,36782.55,1,0,0.71,171,1.83,87.5,3,1,0.75,15.96,0,1,1,Technology,0
CUST0037,135,small,36,19465.46,1,0,0.57,77,3.67,50.0,2,1,0.75,13.54,1,3,0,Retail,1
CUST0038,20,startup,24,2211.19,1,0,0.9,18,2.3,100.0,3,1,0.75,16.35,1,2,1,Retail,0
CUST0039,144,small,12,16251.99,6,0,0.18,25,0.79,37.5,3,1,0.75,3.8,1,3,1,Technology,0
CUST0040,150,small,60,18496.46,2,0,0.24,35,4.39,50.0,3,1,0.75,3.47,1,1,1,Retail,0
CUST0041,17,startup,12,2588.52,1,0,0.97,16,3.98,87.5,3,1,0.75,15.13,1,2,3,Technology,0
CUST0042,10,startup,12,1465.07,1,0,0.22,2,1.06,62.5,6,1,0.75,5.22,1,2,1,Technology,0
CUST0043,14,startup,12,2398.03,1,0,0.75,10,2.79,50.0,2,1,0.75,17.41,0,4,1,Technology,1
CUST0044,252,medium,108,38437.55,1,0,0.63,158,1.96,87.5,0,1,0.75,12.16,1,2,0,Retail,0
CUST0045,348,medium,144,42700.41,1,0,0.84,291,0.88,87.5,2,1,1.0,12.63,1,2,0,Technology,0
CUST0046,299,medium,264,46576.66,1,0,0.53,157,0.51,62.5,0,1,0.75,13.12,1,2,0,Technology,1
CUST0047,240,medium,108,35975.24,1,0,0.61,145,3.99,62.5,2,1,1.0,10.47,1,2,1,Retail,0
CUST0048,128,small,12,16906.28,4,0,0.36,46,7.66,50.0,1,1,1.0,6.27,1,2,0,Technology,0
